Year,Month,Day,Temp
2014,9,1,72
2014,9,2,71
2014,9,3,72
2014,9,4,66
2014,9,5,67
2014,9,6,69
2014,9,7,63
2014,9,8,59
2014,9,9,61
2014,9,10,60
2014,9,11,62
2014,9,12,56
2014,9,13,53
2014,9,14,52
2014,9,15,48
2014,9,16,55
2014,9,17,54
2014,9,18,55
2014,9,19,46
2014,9,20,47
2014,9,21,63
2014,9,22,53
2014,9,23,50
2014,9,24,54
2014,9,25,53
2014,9,26,54
2014,9,27,60
2014,9,28,60
2014,9,29,57
2014,9,30,56
2014,10,1,56
2014,10,2,51
2014,10,3,48
2014,10,4,53
2014,10,5,49
2014,10,6,43
2014,10,7,55
2014,10,8,58
2014,10,9,50
2014,10,10,51
2014,10,11,47
2014,10,12,44
2014,10,13,45
2014,10,14,57
2014,10,15,61
2014,10,16,60
2014,10,17,57
2014,10,18,55
2014,10,19,43
2014,10,20,39
2014,10,21,49
2014,10,22,50
2014,10,23,48
2014,10,24,46
2014,10,25,46
2014,10,26,47
2014,10,27,46
2014,10,28,45
2014,10,29,52
2014,10,30,46
2014,10,31,45
2014,11,1,39
2014,11,2,34
2014,11,3,36
2014,11,4,45
2014,11,5,47
2014,11,6,46
2014,11,7,39
2014,11,8,35
2014,11,9,40
2014,11,10,37
2014,11,11,42
2014,11,12,46
2014,11,13,38
2014,11,14,33
2014,11,15,30
2014,11,16,29
2014,11,17,37
2014,11,18,27
2014,11,19,24
2014,11,20,31
2014,11,21,27
2014,11,22,24
2014,11,23,42
2014,11,24,42
2014,11,25,48
2014,11,26,33
2014,11,27,31
2014,11,28,27
2014,11,29,23
2014,11,30,32
2014,12,1,39
2014,12,2,33
2014,12,3,37
2014,12,4,30
2014,12,5,26
2014,12,6,38
2014,12,7,21
2014,12,8,18
2014,12,9,29
2014,12,10,38
2014,12,11,32
2014,12,12,31
2014,12,13,32
2014,12,14,33
2014,12,15,32
2014,12,16,35
2014,12,17,41
2014,12,18,36
2014,12,19,29
2014,12,20,27
2014,12,21,30
2014,12,22,33
2014,12,23,42
2014,12,24,41
2014,12,25,44
2014,12,26,37
2014,12,27,38
2014,12,28,40
2014,12,29,30
2014,12,30,22
2014,12,31,20
2015,13,1,22
2015,13,2,31
2015,13,3,22
2015,13,4,35
2015,13,5,17
2015,13,6,15
2015,13,7,4
2015,13,8,-1
2015,13,9,19
2015,13,10,17
2015,13,11,15
2015,13,12,33
2015,13,13,15
2015,13,14,14
2015,13,15,25
2015,13,16,15
2015,13,17,9
2015,13,18,20
2015,13,19,32
2015,13,20,27
2015,13,21,22
2015,13,22,29
2015,13,23,24
2015,13,24,31
2015,13,25,19
2015,13,26,11
2015,13,27,14
2015,13,28,13
2015,13,29,1
2015,13,30,19
2015,13,31,11
2015,14,1,30,11
2015,14,2,10
2015,14,3,6
2015,14,4,14
2015,14,5,7
2015,14,6,5
2015,14,7,16
2015,14,8,13
